icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt,squawk,spi,position_source
8007ce,IGO264  ,India,1775071754.0,1775071754,88.2602,21.8714,6057.9,False,194.1,31.12,-8.78,,6370.32,1000,False,0
3965aa,AFR257  ,France,1775071754.0,1775071754,77.8716,27.6655,9753.6,False,239.04,307.83,0.0,,10134.6,0113,False,0
780aac,CPA679  ,China,1775071754.0,1775071754,77.4198,28.7692,4716.78,False,155.99,296.23,-1.95,,4869.18,5323,False,0
896617,UAE9800 ,United Arab Emirates,1775071754.0,1775071754,87.749,22.722,12496.8,False,284.65,93.94,0.0,,13068.3,6210,False,0
89660b,FDB574  ,United Arab Emirates,1775071755.0,1775071755,82.9177,26.1188,9144.0,False,207.75,243.05,0.0,,9525.0,2503,False,0
885962,TVJ760  ,Thailand,1775071753.0,1775071753,74.3504,19.5516,6484.62,False,181.25,254.19,-5.53,,6819.9,,False,0
461f4e,FIN141  ,Finland,1775071747.0,1775071747,84.5065,24.7761,11887.2,False,255.92,160.87,-0.33,,12352.02,6033,False,0
75020a,MAS109  ,Malaysia,1775071754.0,1775071754,77.4873,9.7766,7757.16,False,236.09,106.07,5.53,,8100.06,,False,0
750260,MAS191  ,Malaysia,1775071754.0,1775071754,85.4876,20.2093,11155.68,False,262.04,130.38,4.23,,11734.8,0535,False,0
76cd42,SIA9401 ,Singapore,1775071754.0,1775071754,96.2167,15.0829,12496.8,False,243.46,136.63,0.0,,13167.36,4634,False,0
780bab,CES9656 ,China,1775071754.0,1775071754,87.8918,21.4564,10668.0,False,261.23,46.12,0.0,,11209.02,7411,False,0
70aa79,HIM765  ,Nepal,1775071754.0,1775071754,73.0878,28.5221,10363.2,False,209.14,267.04,0.0,,10721.34,,False,0
8a08b2,LNI115  ,Indonesia,1775071754.0,1775071754,75.9916,11.373,10668.0,False,247.34,119.12,0.0,,11254.74,,False,0
76cd75,SIA317  ,Singapore,1775071754.0,1775071754,86.5798,23.731,11887.2,False,286.21,121.18,0.0,,12397.74,4652,False,0
89907d,EVA071  ,Taiwan,1775071737.0,1775071750,95.774,23.4034,10363.2,False,216.68,271.77,0.0,,10881.36,2654,False,0
040125,ETH688  ,Ethiopia,1775071753.0,1775071753,77.0348,28.5573,457.2,False,76.74,103.57,-4.23,,403.86,,False,0
899020,CAL061  ,Taiwan,1775071754.0,1775071754,91.615,22.2827,9753.6,False,215.1,277.01,0.0,,10241.28,2612,False,0
8881db,VJC896  ,Viet Nam,1775071753.0,1775071754,79.8261,27.148,11887.2,False,270.54,111.88,0.0,,12329.16,,False,0
7814b7,CSN3068 ,China,1775071740.0,1775071740,94.7589,23.3214,10660.38,False,281.61,96.4,0.33,,11178.54,2506,False,0
78021a,CPA3244 ,China,1775071749.0,1775071749,94.2469,23.374,12489.18,False,286.72,96.28,0.0,,13022.58,0532,False,0
040066,ETH607  ,Ethiopia,1775071754.0,1775071754,99.7098,14.1494,9364.98,False,255.05,253.36,6.5,,9913.62,,False,0
406d7b,BAW34   ,United Kingdom,1775071754.0,1775071754,76.8445,26.3207,10965.18,False,225.78,298.14,0.0,,11407.14,,False,0
406d78,BAW16   ,United Kingdom,1775071754.0,1775071754,80.1678,26.2908,10972.8,False,230.1,308.92,-0.33,,11414.76,0134,False,0
4ba956,THY73   ,Turkey,1775071631.0,1775071636,85.6345,25.4957,9144.0,False,228.52,281.03,0.0,,9540.24,3103,False,0
4ba94d,THY71   ,Turkey,1775071754.0,1775071754,81.75,26.8471,9144.0,False,232.94,294.81,0.0,,9517.38,5327,False,0
4ba945,THY85   ,Turkey,1775071753.0,1775071753,82.8416,26.5022,9753.6,False,223.52,293.32,0.0,,10157.46,2743,False,0
49d276,SEJ461  ,Czech Republic,1775071753.0,1775071753,73.5259,18.2825,10668.0,False,231.86,157.7,0.0,,11201.4,,False,0
49d26c,SEJ193  ,Czech Republic,1775071754.0,1775071754,78.0966,28.475,5989.32,False,178.32,295.83,-8.45,,6225.54,2656,False,0
880c47,AIQ131  ,Thailand,1775071743.0,1775071748,84.3242,20.8417,11277.6,False,256.15,112.81,0.0,,11849.1,0545,False,0
704020,MMA391  ,Myanmar,1775071754.0,1775071755,99.7589,14.3899,8404.86,False,225.76,308.8,6.5,,8923.02,,False,0
06a052,QTR22X  ,Qatar,1775071754.0,1775071754,76.3449,10.173,8839.2,False,264.02,129.15,0.0,,9311.64,,False,0
781915,CSN6044 ,China,1775071754.0,1775071754,84.2935,22.3999,11887.2,False,289.13,86.53,0.0,,12451.08,1347,False,0
06a070,QTR90C  ,Qatar,1775071751.0,1775071752,74.724,16.8091,10058.4,False,268.78,122.02,0.0,,10584.18,,False,0
3949ee,AFR182  ,France,1775071726.0,1775071728,78.1844,25.6656,10660.38,False,258.09,118.71,0.0,,11125.2,,False,0
80139e,AIC6CH  ,India,1775071754.0,1775071754,73.1663,18.9183,2506.98,False,125.87,45.33,-1.95,,2567.94,,False,0
801439,AIC6DF  ,India,1775071753.0,1775071754,77.2475,26.118,11490.96,False,249.52,0.71,-2.28,,11955.78,,False,0
80140b,IGO2409 ,India,1775071754.0,1775071754,76.8028,28.5717,822.96,False,100.77,63.96,-0.33,,784.86,,False,0
80141d,AIC5KB  ,India,1775071754.0,1775071754,76.2045,19.7462,10972.8,False,206.48,265.28,0.0,,11529.06,,False,0
06a1e6,QTR8047 ,Qatar,1775071741.0,1775071741,88.7657,16.3571,9753.6,False,238.69,284.1,0.0,,10302.24,,False,0
80155f,AIC2361 ,India,1775070872.0,1775071754,96.8766,17.7729,10363.2,False,13.36,15.64,0.0,,9403.08,,False,0
80158c,AIC4026 ,India,1775071520.0,1775071521,77.0731,28.5491,266.7,False,73.62,103.74,-4.23,,198.12,,False,0
80159c,AIC5RP  ,India,1775071754.0,1775071754,73.1877,19.6278,9677.4,False,247.69,348.62,4.55,,10149.84,,False,0
801595,AXB2762 ,India,1775071754.0,1775071754,72.8725,17.3059,10668.0,False,246.46,1.08,0.33,,11216.64,,False,0
06a103,QTR16K  ,Qatar,1775071754.0,1775071754,75.2217,28.2573,7231.38,False,217.77,92.17,-13.98,,7505.7,,False,0
885113,THA925  ,Thailand,1775071754.0,1775071754,79.3037,26.657,12496.8,False,265.05,128.54,0.0,,12938.76,,False,0
885108,THA955  ,Thailand,1775071754.0,1775071754,79.6331,26.4209,11277.6,False,282.57,128.64,0.33,,11704.32,,False,0
885106,THA961  ,Thailand,1775071754.0,1775071754,78.14,25.6875,11887.2,False,273.97,118.73,0.0,,12344.4,,False,0
88511a,THA900  ,Thailand,1775071685.0,1775071753,85.2843,22.953,11582.4,False,223.95,294.86,0.0,,12131.04,0703,False,0
88510e,THA954  ,Thailand,1775071752.0,1775071753,91.9108,18.9832,10972.8,False,240.67,307.53,0.0,,11247.12,0716,False,0
88510d,THA960  ,Thailand,1775071754.0,1775071754,88.0357,21.6546,10363.2,False,228.73,304.37,0.0,,10789.92,0717,False,0
8013d6,AIC2380 ,India,1775071754.0,1775071754,85.8831,22.5547,9441.18,False,245.99,158.53,-0.33,,9906.0,0561,False,0
06a0fe,QTR2V   ,Qatar,1775071754.0,1775071754,85.4859,22.992,10965.18,False,300.45,89.51,-4.88,,11468.1,2137,False,0
88516f,THA316  ,Thailand,1775071754.0,1775071754,85.9188,23.1777,11277.6,False,276.83,125.7,0.0,,11811.0,0512,False,0
88516c,THA930  ,Thailand,1775071754.0,1775071754,88.8832,21.1188,9144.0,False,231.0,303.83,0.0,,9608.82,6130,False,0
