icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt.1,squawk,spi,position_source
4bb0e2,THY067  ,Turkey,1775074079.0,1775074079,78.5385,28.9932,11582.4,False,231.41,316.26,0.0,,11963.4,4137.0,False,0
4bb0e8,THY174  ,Turkey,1775074025.0,1775074025,86.9619,18.2718,11887.2,False,260.55,128.75,0.0,,12481.56,743.0,False,0
4bb0e8,THY174  ,Turkey,1775074078.0,1775074078,87.0645,18.1928,11887.2,False,261.6,128.85,-0.33,,12481.56,743.0,False,0
4bb0ec,THY163  ,Turkey,1775071754.0,1775071754,80.9496,26.7361,10972.8,False,219.38,299.81,0.33,,11353.8,5663.0,False,0
4bb0ec,THY163  ,Turkey,1775074025.0,1775074025,77.2804,30.2572,10972.8,False,246.87,333.11,0.0,,11292.84,5663.0,False,0
4bb0ec,THY163  ,Turkey,1775074079.0,1775074079,77.2084,30.3588,10972.8,False,242.31,322.77,0.0,,11292.84,5663.0,False,0
4bb0f3,THY45M  ,Turkey,1775071754.0,1775071754,74.3731,26.4629,11887.2,False,275.33,118.58,0.0,,12275.82,,False,0
4bb0f9,THY69   ,Turkey,1775071754.0,1775071754,80.0127,27.5798,10972.8,False,231.2,317.43,0.0,,11361.42,726.0,False,0
4bb0f9,THY69   ,Turkey,1775074025.0,1775074025,75.8154,30.582,11544.3,False,225.28,305.61,5.2,,11864.34,726.0,False,0
4bb0f9,THY69   ,Turkey,1775074033.0,1775074076,75.8014,30.5907,11567.16,False,224.86,305.69,1.95,,11887.2,726.0,False,0
4bb0fa,THY39V  ,Turkey,1775071754.0,1775071754,82.6468,24.2965,11582.4,False,217.84,307.71,0.33,,12054.84,2124.0,False,0
4bb0fa,THY39V  ,Turkey,1775074025.0,1775074025,78.7205,27.0716,11582.4,False,227.45,308.3,0.0,,11986.26,,False,0
4bb0fa,THY39V  ,Turkey,1775074079.0,1775074079,78.6232,27.1403,11582.4,False,227.86,308.22,0.0,,11978.64,,False,0
4bb104,THY057  ,Turkey,1775071754.0,1775071754,82.3184,24.5287,10972.8,False,232.14,307.71,-0.33,,11414.76,2363.0,False,0
4bb104,THY057  ,Turkey,1775074025.0,1775074025,78.2442,27.4061,11254.74,False,230.2,307.92,1.3,,11635.74,,False,0
4bb104,THY057  ,Turkey,1775074079.0,1775074079,78.1455,27.4747,11369.04,False,231.96,308.06,3.9,,11750.04,,False,0
4bb184,THY124  ,Turkey,1775071753.0,1775071754,86.8842,25.1495,11887.2,False,294.81,113.88,0.33,,12382.5,5131.0,False,0
4bb184,THY124  ,Turkey,1775073915.0,1775073935,92.8621,23.5637,11887.2,False,295.31,101.25,-0.33,,12451.08,5131.0,False,0
4bb187,THY298  ,Turkey,1775071754.0,1775071754,84.1018,26.2678,11269.98,False,282.63,112.92,0.33,,11719.56,5113.0,False,0
4bb187,THY298  ,Turkey,1775074026.0,1775074026,90.2251,24.109,11269.98,False,298.37,103.05,0.33,,11772.9,5113.0,False,0
4bb187,THY298  ,Turkey,1775074079.0,1775074079,90.3763,24.0768,11277.6,False,297.87,103.08,-0.33,,11780.52,5113.0,False,0
4bb18a,THY55   ,Turkey,1775071754.0,1775071754,84.6642,22.6765,10972.8,False,225.28,313.24,0.0,,11498.58,152.0,False,0
4bb18a,THY55   ,Turkey,1775073992.0,1775073998,81.1178,25.5673,10972.8,False,220.67,297.64,-0.65,,11430.0,152.0,False,0
4bb18a,THY55   ,Turkey,1775074080.0,1775074080,80.9463,25.6476,10972.8,False,222.26,297.28,0.0,,11430.0,152.0,False,0
4bb18e,THY25   ,Turkey,1775071754.0,1775071754,82.2471,25.8667,10965.18,False,215.56,306.46,-0.33,,11422.38,2610.0,False,0
4bb18e,THY25   ,Turkey,1775074025.0,1775074025,77.9794,28.2811,10965.18,False,221.56,276.4,0.33,,11369.04,2610.0,False,0
4bb18e,THY25   ,Turkey,1775074079.0,1775074079,77.861,28.3049,10965.18,False,226.3,288.97,-0.33,,11361.42,2610.0,False,0
4bb1a3,THY208  ,Turkey,1775071747.0,1775071747,74.5567,31.365,11269.98,False,255.39,130.59,-0.33,,11605.26,,False,0
4bb1a3,THY208  ,Turkey,1775074025.0,1775074025,79.5124,28.3182,11277.6,False,266.47,132.81,0.33,,11681.46,,False,0
4bb1a3,THY208  ,Turkey,1775074079.0,1775074079,79.6212,28.2288,11269.98,False,266.82,132.89,0.0,,11673.84,,False,0
4bb1c7,THY173  ,Turkey,1775071673.0,1775071694,77.335,24.6659,10972.8,False,220.67,300.39,0.33,,11422.38,,False,0
4bb1c7,THY173  ,Turkey,1775073761.0,1775073761,73.5352,26.8761,10972.8,False,216.41,298.7,0.0,,11353.8,,False,0
4cac0f,KZR603  ,Ireland,1775073638.0,1775074024,74.5316,31.383,11277.6,False,225.73,140.18,0.0,,11582.4,,False,0
4cacb9,ITY770  ,Ireland,1775071754.0,1775071754,74.8664,31.0725,12496.8,False,250.38,136.67,0.0,,12809.22,,False,0
4cacb9,ITY770  ,Ireland,1775073904.0,1775073909,77.0777,28.5481,251.46,False,71.49,103.74,-0.65,,190.5,,False,0
4cae84,SEJ902  ,Ireland,1775071754.0,1775071754,76.9381,28.2375,2735.58,False,140.55,326.95,-2.93,,2811.78,,False,0
4caf23,KZR964  ,Ireland,1775074025.0,1775074026,77.0878,28.307,2689.86,False,144.25,211.14,12.68,,2750.82,,False,0
4caf23,KZR964  ,Ireland,1775074080.0,1775074080,77.0175,28.2927,3238.5,False,157.55,302.6,4.88,,3337.56,,False,0
4d0113,CLX7623 ,Luxembourg,1775071754.0,1775071754,90.2501,22.446,12496.8,False,288.29,97.18,0.0,,13075.92,3504.0,False,0
4d0113,CLX7623 ,Luxembourg,1775073783.0,1775073900,95.8118,21.683,12496.8,False,282.62,100.59,0.0,,13121.64,3504.0,False,0
4d229d,SEJ448  ,Malta,1775071753.0,1775071754,88.3964,22.5984,1127.76,False,91.67,246.17,5.53,,1097.28,2647.0,False,0
4d229d,SEJ448  ,Malta,1775073752.0,1775073834,84.6045,20.8855,12740.64,False,228.65,237.78,0.0,,9593.58,2647.0,False,0
4d232c,SEJ648  ,Malta,1775071754.0,1775071754,72.8668,18.4201,5737.86,False,201.56,161.7,11.38,,5974.08,,False,0
4d232c,SEJ648  ,Malta,1775073787.0,1775073791,76.1672,15.5428,11277.6,False,242.23,122.07,0.0,,11864.34,,False,0
507c49,UZB534  ,Uzbekistan,1775071754.0,1775071754,82.2568,25.3879,10363.2,False,212.55,318.83,0.33,,10797.54,6140.0,False,0
507c49,UZB534  ,Uzbekistan,1775074025.0,1775074026,78.7778,28.4732,10363.2,False,220.47,319.73,0.0,,10736.58,6140.0,False,0
507c49,UZB534  ,Uzbekistan,1775074079.0,1775074079,78.7023,28.5581,10363.2,False,222.04,322.63,0.0,,10728.96,6140.0,False,0
68322c,VSV5202 ,Kazakhstan,1775074025.0,1775074025,76.0519,29.6533,10675.62,False,234.43,146.28,0.0,,10995.66,,False,0
68322c,VSV5202 ,Kazakhstan,1775074031.0,1775074077,76.06,29.6428,10675.62,False,234.0,146.21,0.0,,10995.66,,False,0
70203e,BBC339  ,Bangladesh,1775074076.0,1775074078,90.4005,23.84,60.96,False,87.26,143.87,0.98,,-38.1,4706.0,False,0
704020,MMA391  ,Myanmar,1775071754.0,1775071755,99.7589,14.3899,8404.86,False,225.76,308.8,6.5,,8923.02,,False,0
70612e,JZR3406 ,Kuwait,1775074025.0,1775074025,75.9463,10.8164,6111.24,False,191.88,333.92,9.43,,6347.46,,False,0
70612e,JZR3406 ,Kuwait,1775074078.0,1775074078,75.9057,10.8988,6606.54,False,189.36,334.06,8.45,,6736.08,,False,0
706131,JZR3432 ,Kuwait,1775071753.0,1775071753,75.9203,13.9665,9052.56,False,234.28,287.64,4.55,,9403.08,,False,0
706131,JZR3432 ,Kuwait,1775073725.0,1775073725,72.2401,15.8007,10363.2,False,223.45,297.86,0.0,,10896.6,,False,0
70aa79,HIM765  ,Nepal,1775071754.0,1775071754,73.0878,28.5221,10363.2,False,209.14,267.04,0.0,,10721.34,,False,0
7100b4,SVA883  ,Saudi Arabia,1775071754.0,1775071754,83.848,22.9866,10965.18,False,209.74,273.37,0.0,,11490.96,3130.0,False,0
7100c3,SVA816  ,Saudi Arabia,1775071753.0,1775071754,78.498,12.5836,10058.4,False,266.57,114.64,0.0,,10614.66,,False,0
710102,SVA978  ,Saudi Arabia,1775071450.0,1775071450,95.5646,22.7397,12496.8,False,288.35,82.72,0.0,,13091.16,4524.0,False,0
7103d6,SVA871  ,Saudi Arabia,1775073819.0,1775073835,87.3214,16.697,10965.18,False,237.19,283.67,-0.33,,11574.78,6521.0,False,0
75020a,MAS109  ,Malaysia,1775071754.0,1775071754,77.4873,9.7766,7757.16,False,236.09,106.07,5.53,,8100.06,,False,0
75021f,MAS193  ,Malaysia,1775074023.0,1775074023,79.5804,12.9715,8862.06,False,253.75,94.07,6.18,,9197.34,,False,0
75021f,MAS193  ,Malaysia,1775074073.0,1775074076,79.6971,12.9633,9090.66,False,255.8,94.04,3.9,,9570.72,,False,0
750260,MAS191  ,Malaysia,1775071754.0,1775071754,85.4876,20.2093,11155.68,False,262.04,130.38,4.23,,11734.8,535.0,False,0
7502c4,MXD132  ,Malaysia,1775071753.0,1775071754,85.8718,20.1866,10058.4,False,260.48,135.8,0.0,,10591.8,4527.0,False,0
7502cd,XAX605  ,Malaysia,1775074025.0,1775074025,75.8586,26.7368,11277.6,False,238.94,155.31,0.0,,11696.7,,False,0
7502cd,XAX605  ,Malaysia,1775074079.0,1775074079,75.9119,26.6309,11277.6,False,238.77,155.7,0.33,,11704.32,,False,0
7502da,MXD164  ,Malaysia,1775071754.0,1775071754,96.9786,16.4426,10972.8,False,237.89,333.27,0.0,,11620.5,,False,0
7503c2,MXD161  ,Malaysia,1775073939.0,1775073940,92.4528,21.5619,9448.8,False,255.16,137.04,0.0,,9928.86,4762.0,False,0
750400,MXD232  ,Malaysia,1775074074.0,1775074075,79.086,9.3239,10668.0,False,236.03,106.46,0.0,,11262.36,,False,0
750422,MXD206  ,Malaysia,1775071754.0,1775071754,85.9443,21.9017,11277.6,False,250.19,141.76,-0.33,,11833.86,577.0,False,0
750422,MXD206  ,Malaysia,1775074023.0,1775074023,89.5919,18.3149,11277.6,False,225.9,134.72,0.0,,11887.2,577.0,False,0
750422,MXD206  ,Malaysia,1775074055.0,1775074055,89.6401,18.2693,11277.6,False,224.81,134.81,-0.33,,11894.82,577.0,False,0
75044a,MAS20   ,Malaysia,1775071753.0,1775071753,87.5027,18.6103,10972.8,False,242.29,315.69,0.0,,11551.92,2161.0,False,0
75044a,MAS20   ,Malaysia,1775073678.0,1775073928,84.0601,21.0007,11582.4,False,227.27,300.92,0.0,,11727.18,2161.0,False,0
75044c,MAS2    ,Malaysia,1775074021.0,1775074024,77.0355,24.8288,11582.4,False,231.42,300.9,0.0,,12039.6,,False,0
75044c,MAS2    ,Malaysia,1775074079.0,1775074079,76.9229,24.8901,11582.4,False,231.86,300.83,0.0,,12039.6,,False,0
75044d,MAS3    ,Malaysia,1775071754.0,1775071754,87.2909,20.3923,12496.8,False,264.26,132.95,0.0,,13098.78,4650.0,False,0
750458,AXM8    ,Malaysia,1775071754.0,1775071754,78.659,7.7605,9867.9,False,240.22,106.81,3.9,,10424.16,,False,0
750553,MAS119  ,Malaysia,1775074024.0,1775074024,79.1262,25.8932,10668.0,False,237.0,146.69,0.0,,11094.72,,False,0
75056b,MXD216  ,Malaysia,1775071753.0,1775071753,75.6192,19.6784,10058.4,False,261.96,96.43,0.0,,10553.7,,False,0
750584,AXM70   ,Malaysia,1775071715.0,1775071715,98.4757,13.5872,10058.4,False,236.29,152.93,0.0,,10690.86,,False,0
750585,AXM93   ,Malaysia,1775071754.0,1775071754,80.0225,27.1158,10058.4,False,255.33,114.4,0.0,,10469.88,,False,0
750585,AXM93   ,Malaysia,1775073799.0,1775073803,83.6155,23.9577,10058.4,False,249.56,135.67,-0.33,,10530.84,514.0,False,0
750585,AXM93   ,Malaysia,1775074078.0,1775074078,84.0916,23.5049,10066.02,False,253.21,135.82,-0.33,,10546.08,514.0,False,0
75059a,XAX183  ,Malaysia,1775073755.0,1775073789,85.1853,17.2904,11277.6,False,242.0,136.64,0.33,,11887.2,,False,0
7584a9,CEB740  ,Philippines,1775071754.0,1775071754,95.1361,14.8502,10972.8,False,240.82,283.59,0.0,,11612.88,,False,0
7584a9,CEB740  ,Philippines,1775071929.0,1775074023,94.7609,14.9388,10972.8,False,239.07,283.44,0.0,,11590.02,2620.0,False,0
76b447,SIA537  ,Singapore,1775073877.0,1775073877,77.6941,9.7365,7886.7,False,219.13,106.22,4.23,,8252.46,,False,0
76cd42,SIA9401 ,Singapore,1775071754.0,1775071754,96.2167,15.0829,12496.8,False,243.46,136.63,0.0,,13167.36,4634.0,False,0
76cd42,SIA9401 ,Singapore,1775073972.0,1775074005,99.5753,11.4914,12496.8,False,243.79,155.44,0.0,,13182.6,,False,0
76cd43,SIA324  ,Singapore,1775073989.0,1775074007,85.215,18.5527,10363.2,False,243.0,314.66,0.0,,10896.6,2272.0,False,0
76cd43,SIA324  ,Singapore,1775074061.0,1775074078,85.0982,18.6624,10363.2,False,243.37,314.57,0.0,,10896.6,2272.0,False,0
76cd44,SIA352  ,Singapore,1775073593.0,1775073836,83.9266,19.6932,11887.2,False,239.74,314.22,0.33,,12435.84,162.0,False,0
76cd45,SIA377  ,Singapore,1775074025.0,1775074025,86.3234,19.7507,11887.2,False,259.73,135.0,0.0,,12489.18,414.0,False,0
76cd45,SIA377  ,Singapore,1775074073.0,1775074076,86.4058,19.6723,11887.2,False,261.19,135.16,0.0,,12489.18,414.0,False,0
76cd49,SIA304  ,Singapore,1775074024.0,1775074026,85.5651,18.2262,10972.8,False,239.0,314.74,0.0,,11536.68,146.0,False,0
76cd49,SIA304  ,Singapore,1775074060.0,1775074060,85.5079,18.2803,10972.8,False,238.64,314.65,0.0,,11536.68,146.0,False,0
76cd74,SIA322  ,Singapore,1775074025.0,1775074025,75.5615,25.7988,10363.2,False,233.66,306.95,0.0,,10751.82,,False,0
76cd74,SIA322  ,Singapore,1775074079.0,1775074079,75.4631,25.8656,10363.2,False,232.22,306.9,0.0,,10751.82,,False,0
76cd75,SIA317  ,Singapore,1775071754.0,1775071754,86.5798,23.731,11887.2,False,286.21,121.18,0.0,,12397.74,4652.0,False,0
76cd75,SIA317  ,Singapore,1775074021.0,1775074025,91.6451,20.6453,11887.2,False,263.55,124.34,0.0,,12481.56,4652.0,False,0
76cd75,SIA317  ,Singapore,1775074077.0,1775074078,91.7622,20.5698,11887.2,False,263.84,124.43,0.0,,12481.56,4652.0,False,0
76cda2,SIA9303 ,Singapore,1775071752.0,1775071754,85.1273,20.5754,12496.8,False,264.28,131.29,0.33,,13083.54,4554.0,False,0
76cdac,SIA378  ,Singapore,1775071754.0,1775071754,85.9733,21.5426,10972.8,False,234.03,313.13,0.0,,11521.44,161.0,False,0
76cdac,SIA378  ,Singapore,1775074025.0,1775074025,82.2652,24.5665,11582.4,False,220.82,307.62,0.0,,12070.08,161.0,False,0
76cdac,SIA378  ,Singapore,1775074079.0,1775074079,82.1716,24.6324,11582.4,False,221.95,307.56,0.33,,12070.08,161.0,False,0
76cdaf,SIA312  ,Singapore,1775071749.0,1775071749,87.8272,18.2921,10363.2,False,242.27,315.17,0.0,,10927.08,111.0,False,0
76cdaf,SIA312  ,Singapore,1775074026.0,1775074026,84.0676,21.6098,11582.4,False,230.21,309.56,0.33,,12146.28,111.0,False,0
76cdaf,SIA312  ,Singapore,1775074078.0,1775074078,83.9776,21.6791,11582.4,False,230.68,309.3,0.0,,12138.66,111.0,False,0
76cdb2,SIA328  ,Singapore,1775071742.0,1775071742,85.8268,17.9812,10972.8,False,239.72,314.74,0.0,,11559.54,2232.0,False,0
76cdb6,SIA301  ,Singapore,1775071744.0,1775071744,88.9159,18.9275,12496.8,False,263.01,134.76,0.0,,13022.58,4617.0,False,0
76cdc2,SIA305  ,Singapore,1775071633.0,1775071641,93.156,19.6466,10668.0,False,277.91,125.28,0.0,,11262.36,4611.0,False,0
76cdc2,SIA305  ,Singapore,1775073992.0,1775073994,97.1329,15.551,10668.0,False,259.01,144.13,0.0,,11300.46,4611.0,False,0
